X1_1,X1_2,X1_3,X1_4,X1_5,X1_6,X1_7,X1_8,X1_9,X1_10,X1_11,X1_12,X1_13,X1_14,X1_15,X1_16,X1_17,X1_18,X1_19,X1_20,X1_21,X1_22,X1_23,X1_24,X1_25,X1_26,X1_27,X1_28,X1_29,X1_30,X1_31,X1_32,X1_33,X1_34,X1_35,X1_36,X1_37,X1_38,X1_39,X1_40,X1_41,X1_42,X1_43,X1_44,X1_45,X1_46,X1_47,X1_48,X1_49,X1_50,X1_51,X1_52,X1_53,X1_54,X1_55,X1_56,X1_57,X1_58,X1_59,X1_60,X1_61,X1_62,X1_63,X1_64,X1_65,X1_66,X1_67,X1_68,X1_69,X1_70,X1_71,X1_72,X1_73,X1_74,X1_75,X1_76,X1_77,X1_78,X1_79,X1_80,X1_81,X1_82,X1_83,X1_84,X1_85,X1_86,X1_87,X1_88,X1_89,X1_90,X1_91,X1_92,X1_93,X1_94,X1_95,X1_96,X1_97,X1_98,X1_99,X1_100
7.324361323,-3.798637639,0.897523806,9.144151206,6.449960305,-1.91877468,-4.751098148,1.166649551,-11.0998222,5.56889044,-3.215223897,-6.630615647,1.116686908,3.849472704,-9.810923323,-1.608300941,6.618857402,-10.85098516,2.396486283,-4.47341208,-4.456205773,-7.585577824,0.39093561,10.22608591,0.725756908,-10.84435645,4.411188692,11.85677793,1.769741968,9.016372541,9.585835656,8.166391457,8.906512703,-8.368401689,4.482446728,0.696479239,-7.144790815,2.24250731,5.907272773,2.222053196,-8.047649944,-5.404167229,-7.042466719,6.451273532,5.899871648,1.769474301,-4.766318075,1.599804418,-5.159738729,-9.083499744,1.734161289,-3.67564074,-0.859807693,-11.88473542,1.831422772,2.277269461,7.879698019,-7.308476531,5.083397313,1.925159346,3.9053773,3.947353831,1.573585454,-0.39295853,-0.34062854,6.916180106,9.602001414,0.550947149,3.434253987,3.675456873,-5.818754955,10.1751849,5.360060701,-0.817029266,2.541227228,13.17795654,2.181164878,6.145700289,-0.215890815,8.832150721,7.652721023,-3.595575195,-4.725143123,0.274817948,-6.421956901,-10.55306581,-7.261005936,1.200644415,1.131458758,-0.498127989,-1.24439713,-1.073816192,4.876182905,6.734293169,8.862167584,4.063974746,6.146911875,7.155070317,12.60335407,-4.612610547
6.998338406,0.118956034,12.48145505,7.05921093,2.619137678,-0.667747736,7.686120971,-12.04807823,-4.452828174,-3.010104697,5.221309256,-5.162880819,7.307616971,7.920968871,-6.808564,4.616112457,-10.04945084,-1.38863716,-8.744935617,11.45963697,-1.850481182,10.1494983,4.960663882,9.661258169,-5.289888255,-9.793871173,2.673265333,-6.38833913,1.392408257,0.841562065,0.126496698,12.60691164,-1.367148816,-8.346981173,-6.010173805,1.709733689,0.879938579,-0.077868366,-0.107585819,3.917768587,-1.96322675,5.746399302,4.137885056,-7.729033955,1.833682279,-1.393995952,4.821430715,-6.828296587,1.056011165,-0.639940934,7.99042232,-3.939206815,0.380555357,-4.515388061,1.81807809,-5.434716765,10.53973663,-3.207779402,4.353366958,-2.766237608,6.576677317,-1.568445698,-2.005408211,0.698648565,8.357645644,9.628484727,6.176961859,-11.0121021,4.77295003,-3.448635841,5.560911781,5.508093099,0.383857485,-0.206230139,-10.38895526,3.357986506,-6.350222941,3.201177001,-2.599241886,4.901632249,-8.509849866,-8.550346436,3.525938613,-1.860402657,1.953176841,11.49780545,-0.221053658,5.999594886,4.188753983,6.239353876,3.231177217,-3.296543312,-3.555582924,5.172975614,-2.690741703,-4.292883775,-2.463514856,-4.613222563,1.776826191,1.651443927
2.829498999,-2.133671981,-2.079132558,6.710328953,8.452756884,-4.423608089,-3.130113624,1.697610036,-8.696539345,3.60220188,-3.513395645,-9.625762004,3.805418397,-0.510788911,-7.192190678,0.368424856,2.86859181,-10.78841314,2.848685533,-3.8155191,-1.300112581,-9.272259471,-2.88384781,10.66395585,-7.143939139,-9.481136292,6.107440016,9.831892382,-3.949879407,12.13115205,12.17438508,1.168946342,8.172706998,-10.78336315,6.305199948,1.947184718,-0.088685334,0.759697293,11.92699001,0.434488142,-8.905337763,-5.697547965,-9.888241845,5.834418816,9.860321575,2.456587468,-3.412087478,2.444770165,-8.73048583,-10.1602641,4.786659356,-0.474685669,1.598086244,-5.855009248,0.485697798,4.091455482,11.77936363,-8.866738324,3.464915664,-2.168387916,1.906669053,8.955450792,-0.87102097,2.024147924,-0.70920406,5.626079835,9.173286351,0.616807001,4.021942237,4.948767806,-1.405720679,7.188674477,4.431051215,2.390504336,1.641295581,8.275541661,1.375743346,2.941337359,-5.312101278,3.770223077,12.07129377,-3.603841216,-4.077657542,2.443207798,-3.742824019,-7.611671127,-4.299035009,1.603869959,0.131019222,6.328693291,1.969226192,3.786673845,10.10570606,8.751343093,5.975049635,5.210328231,8.313255063,2.292284981,9.89230757,-4.047235149
-6.20692916,-7.319105426,7.433452632,-0.756847808,-4.258797693,-0.616095824,-8.055119266,-1.142333363,-5.944834476,0.072507941,-7.033900424,1.232232492,8.69665229,-4.634047261,10.58707438,-7.106983494,-0.69901506,2.245508299,7.156360749,8.023395129,-0.371914597,4.339887909,7.35763586,3.801918578,4.603020406,10.8071059,-1.154799472,4.319756059,-3.807899935,-1.993607952,11.78861712,5.956533443,-1.712313323,-7.057071682,-5.892328581,-12.38889533,-2.730047685,-4.48507038,-6.952066642,3.42857982,-2.20185636,2.985128476,7.673929022,-8.68531074,-9.504323353,-6.022586078,5.210669066,-9.016426045,-4.365920601,6.27824366,0.685651352,-9.192794038,7.345577414,1.046084332,-6.866566404,-3.039756495,0.172200431,-9.144189052,4.103025918,-1.87049402,-5.231885337,-1.975044675,-7.141813511,-11.6739943,6.652796254,-1.857585112,7.299758186,-4.358937229,-0.258535299,4.823271984,-8.205448174,-5.872849548,1.365196776,-4.283894598,-2.334213443,-0.329400911,1.102809283,9.587114733,8.63901153,7.134431588,-0.938275458,-7.502838398,2.397457885,-0.575390819,1.350193276,1.333583996,5.707150588,7.229804537,-9.430417913,8.31820097,2.254260421,-2.818653567,3.608537799,5.134583116,-0.613347315,3.279439833,-5.286004097,-7.199161781,-4.322782787,-10.60248879
5.477737871,-6.870286473,1.021785873,6.734601131,8.108168248,1.03470455,-4.711518446,1.654381931,-8.071660291,5.849710816,-0.655721635,-9.998258152,4.373623809,0.240636233,-9.172541974,4.196242299,6.618298656,-6.594933807,7.212013051,-2.692105482,-3.130774591,-12.4423128,0.516358773,6.751408528,-3.921776143,-7.81977232,2.901418671,9.283388819,-2.343286328,6.991345271,4.401715903,6.121936677,5.635651749,-4.117912165,5.964595693,-1.610947713,-3.293955058,-0.223565836,7.232708701,-2.532952826,-8.788775022,0.054224779,-3.096162872,4.809951526,13.27110203,0.659699529,-7.553073757,-0.019254859,-5.11455749,-10.99173762,4.61033465,-0.260176022,-2.968490397,-5.837073854,2.992495311,2.266348148,10.82620829,-10.58849148,-1.418545262,-2.327231785,1.64351212,8.908402307,1.355840925,2.48806782,0.677616543,6.928069066,6.499326698,-1.856148781,3.566385101,5.162117027,-3.716653262,3.897720908,4.342476594,0.982164091,0.24903961,8.430907522,2.515115057,1.503241884,-1.664983452,2.927000753,6.792675178,-5.326887907,-7.105534472,4.280536594,-0.677364762,-8.357354655,-2.197964509,4.183355831,-0.158430487,0.082806795,2.33361505,0.636660264,10.74364348,5.029953156,10.01253848,7.948389594,5.736810327,9.066107768,9.403209482,-4.061551392
-7.463396928,-10.46870922,6.402819031,-3.847796844,-2.446395491,-2.567522571,-7.191771753,1.34610702,-5.872989706,4.037654671,-9.523279092,3.56217148,9.134072975,-2.293848678,10.41200706,-10.05627891,-0.816572519,1.062297201,7.189406846,11.285721,4.813783883,4.164572863,9.221031176,4.150911479,9.260851182,8.463725206,-1.526639955,-0.291476269,-5.125561186,-0.657907241,6.279999997,-0.452908555,-5.147498657,-3.019376524,-4.590625041,-8.180508318,-6.408404837,-0.442161112,-10.76189126,7.948653113,-0.864270205,2.160468798,0.104586543,-6.120721058,-6.986807337,-4.17728683,7.795793608,-8.256012369,-5.731872282,7.24998339,0.116685339,-5.542992428,7.763934144,0.405175186,-7.106316462,-1.083500567,2.934133731,-9.90475559,3.118542802,1.582644224,-5.480068873,-2.017005871,-2.352237891,-14.08767365,-0.270086067,3.182701291,6.165799327,-8.545514167,1.704924837,1.534052316,-5.530972109,-6.026665588,5.375337007,-6.331616802,-0.571088481,2.522276728,-1.250602624,9.155344109,5.808238145,5.478690029,-1.592083465,-8.06755507,4.107062337,-1.212344612,-4.944195866,2.353593944,10.25287092,3.726863367,-8.072507922,7.526097084,2.763452024,-3.107318053,4.633852563,0.030540936,2.577181277,-1.154017034,-7.599454509,-3.015620166,-3.0227576,-8.231241081
-9.632190003,-1.75047677,-3.624977012,8.405638825,5.903571298,0.572938431,-6.92167781,2.871085205,2.079337308,4.359579712,-2.683500902,-8.233681666,-0.017627215,-4.329350262,5.019083985,3.736082238,-1.159802181,9.656165138,-7.016751116,8.468641137,-4.54549719,7.062722328,4.298974142,9.733399666,11.1395307,-9.954746543,-9.571650288,-1.816981491,-10.13579551,1.831529524,-0.382901248,2.532645059,-1.028490806,-6.77991272,14.26688303,5.832473268,-14.52640727,-8.307744151,3.401991014,-3.374383294,-0.211617686,5.792914994,-5.389394797,10.45470528,5.504838266,-0.490386022,-7.827167206,-1.028023903,4.746093292,11.85797803,-8.420401036,-6.817559732,5.012614559,5.280711901,-2.73580155,8.751525923,5.639948654,1.402326044,-4.57178688,-4.624031977,-2.101343264,5.182674084,-6.839030857,-5.327310975,11.20175349,10.33106613,11.01597605,3.105796552,-9.716637437,-10.73153033,1.697699016,5.232197344,9.762946888,3.635704611,7.035519328,-6.617812572,-6.919854145,-5.568908995,-5.750099674,-4.782595982,-7.485175663,-4.590326725,-5.505885732,-3.362669842,10.42023963,-3.138541828,5.155545966,1.739104452,9.615041498,5.123330308,9.181546591,-6.66078976,7.900329966,-3.288108133,-0.883522801,4.814384893,-6.304126087,4.346181323,5.804276338,-5.31338169
-4.032998002,-9.005282824,5.15812751,-5.504023356,-1.925892099,-2.488950821,-7.758355958,-2.887821819,-5.325122161,1.716872839,-9.663182726,0.560019902,7.485207877,-1.759761813,10.19636097,-5.916169792,2.479773453,1.638588966,12.01567849,8.236932041,-1.276993871,5.381432676,7.546970427,2.550071323,12.70604032,7.340594998,1.992708329,1.477640561,-7.110438094,1.578167732,8.472981159,5.782123314,-3.310806909,-10.39224706,-8.669706632,-7.386104497,-2.599296318,0.60548083,-9.854524179,6.42885613,-0.294491754,3.175090075,-1.495915354,-3.84858406,-8.242265724,-7.150947737,7.834987027,-8.872261277,-1.844823674,8.645513257,-0.262984404,-11.5049615,8.22691471,-2.18773101,-6.188382441,-2.690728141,-0.20618526,-4.565783823,5.438616229,4.826031082,-5.726021028,0.439919785,-8.505810175,-12.25162751,1.449960557,3.0001115,6.450583683,-7.247009543,0.04965205,3.115582019,-10.45711426,-2.543973353,1.913640188,-9.035977227,-2.440906936,1.364684604,-3.021606115,9.682833981,6.952263154,5.107572884,-0.515443623,-4.406841222,0.137409183,-1.142926724,-1.536135332,0.565435337,8.987002652,3.561727451,-8.410385631,1.405723374,6.82720278,-5.231525045,5.884561468,1.960252494,1.230773402,1.587154165,-10.67099132,-0.76109337,-0.251277773,-7.166493445
6.695973258,-2.663865641,3.521272875,7.15005004,8.02904337,-5.959348896,0.494958742,-1.309248305,-6.831414796,1.939811298,-3.082719551,-6.799662913,2.539043075,1.726432565,-9.294345549,-1.211722799,6.480067978,-11.45413925,3.436473577,-5.578856539,-0.130201708,-7.310143363,-1.042162111,6.572612217,-4.728974662,-7.029182543,7.30545358,7.749579853,-2.765819187,9.201950434,8.969666145,3.908256253,4.445610277,-6.95249706,6.747478794,2.081175745,-4.669311341,-0.802696183,5.742983455,0.00684976,-12.35995643,-3.951267341,0.415333094,6.402009632,5.707271937,0.045997065,-7.425945878,6.032585074,-6.585960375,-10.70983148,-0.832715619,0.834422314,-2.481433101,-8.296036626,1.507722782,3.572384275,11.02696751,-9.577914652,0.048478333,1.082073759,3.059280695,7.277852478,-0.410996024,0.358766916,1.895045098,9.563658761,9.525046679,-5.633057394,5.770467767,5.881872718,-5.807762529,2.764505196,5.128223924,-2.767349649,0.539784806,11.06351098,2.677676513,3.615346496,-2.909865404,5.109639246,6.768482184,-6.067349428,-5.322112266,2.770934858,-1.216388304,-11.17859007,-5.624597488,3.181512137,2.605809848,-3.415404162,2.253384573,2.571811941,7.246582552,7.121111576,12.43396947,4.797986721,9.1777037,3.759464426,11.82327052,-3.125276468
7.921427751,-6.499679949,0.348636523,12.82283582,4.201585727,-4.609691381,-2.413720094,0.5464425,-7.627940751,6.150686216,-2.085753546,-7.819859692,5.395771702,2.257911707,-7.700164617,-0.899696434,3.278925963,-11.62250767,4.34001585,-3.586253609,2.26499697,-8.412950859,-1.501205364,14.24744518,-4.699025045,-11.5089529,6.266941035,9.144511059,0.633531548,10.44622831,8.276411484,5.391309235,12.3331041,-4.724814582,3.095027918,-0.170996445,-5.152787904,1.758870354,5.592285634,0.61103463,-10.5412886,-3.741959335,-4.64405732,0.529013746,9.883474964,-2.1089507,-1.351228898,5.086499933,-8.801640363,-8.62113524,-1.834150312,-2.179859911,-0.777540623,-9.963708632,-0.498925046,5.155823114,11.20851267,-9.824132977,-1.331830615,1.106591534,1.28922912,7.278677036,2.677858587,-0.240653234,3.014117472,7.642786089,10.90788501,-0.997078484,1.790793188,3.343998189,-1.008978116,6.45501109,2.588454004,0.167228778,2.572748858,9.268436725,2.060789362,3.139925657,-3.889798653,3.201886655,6.121160216,-7.532760415,-4.439272003,-0.532474326,-6.548215988,-10.45980697,-3.145563578,6.125134682,1.717521701,3.631235745,2.945989049,0.518207562,10.90233461,4.668756027,6.686544488,1.001238488,3.707595773,4.957204861,11.67950027,1.658070015
